TAA	TAG	TGA
64.0	55.0	232
264.0	5.0	82
20.0	128.0	16
23.0	54.0	42
21.0	34.0	20
70.0	37.0	20
26.0	329.0	85
5.0	104.0	20
70.0	26.0	15
67.0	8.0	181
20.0	157.0	20
20.0	49.0	20
20.0	31.0	14
21.0	38.0	20
281.0	25.0	20
20.0	6.0	20
20.0	55.0	169
20.0	165.0	55
57.0	21.0	36
22.0	139.0	20
20.0	96.0	1
20.0	4.0	86
152.0	64.0	30
211.0	61.0	95
218.0	61.0	52
44.0	23.0	47
18.0	154.0	139
38.0	20.0	20
25.0	20.0	20
21.0	130.0	7
3.0	65.0	20
20.0	20.0	142
92.0	20.0	22
20.0	37.0	12
21.0	20.0	150
20.0	25.0	45
124.0	41.0	20
158.0	51.0	20
127.0	43.0	247
20.0	137.0	23
23.0	122.0	21
186.0	90.0	181
35.0	112.0	103
60.0	100.0	21
20.0	20.0	97
58.0	161.0	21
74.0	21.0	21
5.0	159.0	57
192.0	23.0	6
20.0	22.0	194
20.0	8.0	20
92.0	53.0	21
25.0	12.0	226
4.0	21.0	20
12.0	125.0	10
92.0	20.0	91
20.0	34.0	75
20.0	11.0	1
20.0	110.0	174
21.0	20.0	21
20.0	38.0	22
20.0	278.0	21
69.0	20.0	185
21.0	40.0	94
21.0	110.0	96
14.0	82.0	183
21.0	20.0	20
113.0	20.0	21
278.0	23.0	161
77.0	20.0	162
159.0	21.0	20
7.0	33.0	23
177.0	104.0	20
202.0	25.0	165
181.0	57.0	465
29.0	20.0	20
161.0	20.0	123
20.0	20.0	23
104.0	22.0	31
233.0	37.0	20
23.0	15.0	198
149.0	115.0	23
84.0	20.0	215
5.0	175.0	20
104.0	2.0	21
65.0	20.0	198
128.0	138.0	7
20.0	20.0	47
34.0	181.0	20
202.0	270.0	35
75.0	168.0	63
11.0	20.0	83
31.0	65.0	147
20.0	20.0	10
21.0	93.0	55
22.0	5.0	70
23.0	113.0	293
139.0	47.0	22
59.0	57.0	20
82.0	131.0	5
86.0	148.0	93
119.0	20.0	52
89.0	1.0	124
21.0	128.0	4
42.0	59.0	21
191.0	48.0	45
20.0	36.0	4
10.0	174.0	8
127.0	21.0	105
32.0	101.0	108
31.0	176.0	20
20.0	21.0	192
24.0	20.0	20
15.0	16.0	20
4.0	21.0	209
278.0	26.0	20
32.0	27.0	11
11.0	87.0	143
90.0	33.0	80
20.0	20.0	158
20.0	20.0	173
320.0	188.0	19
71.0	184.0	46
19.0	79.0	20
20.0	22.0	95
274.0	20.0	116
20.0	45.0	243
77.0	1.0	20
193.0	107.0	236
1.0	56.0	20
3.0	121.0	275
92.0	196.0	163
22.0	48.0	22
20.0	46.0	21
335.0	20.0	20
25.0	5.0	21
20.0	227.0	29
75.0	26.0	84
235.0	50.0	125
167.0	157.0	61
21.0	415.0	81
4.0	234.0	349
160.0	94.0	9
23.0	159.0	178
34.0	20.0	33
114.0	62.0	20
22.0	20.0	23
23.0	188.0	20
30.0	13.0	29
13.0	34.0	81
89.0	20.0	107
48.0	20.0	20
55.0	185.0	22
22.0	67.0	21
55.0	25.0	48
20.0	13.0	47
20.0	204.0	45
261.0	20.0	29
242.0	100.0	72
274.0	101.0	20
26.0	21.0	21
222.0	49.0	158
21.0	99.0	5
20.0	20.0	71
20.0	21.0	53
93.0	72.0	130
24.0	29.0	26
20.0	115.0	355
20.0	22.0	20
18.0	217.0	20
123.0	22.0	182
8.0	21.0	30
80.0	20.0	77
141.0	36.0	117
257.0	20.0	20
39.0	21.0	22
47.0	20.0	20
20.0	21.0	20
20.0	20.0	20
74.0	145.0	20
120.0	15.0	11
146.0	38.0	31
48.0	127.0	95
24.0	161.0	17
30.0	43.0	105
192.0	289.0	23
104.0	130.0	103
166.0	196.0	30
19.0	213.0	110
22.0	171.0	20
20.0	116.0	158
109.0	17.0	20
20.0	21.0	193
47.0	20.0	25
184.0	127.0	11
79.0	20.0	6
71.0	40.0	29
135.0	130.0	96
57.0	64.0	179
130.0	24.0	20
34.0	81.0	20
55.0	20.0	100
137.0	20.0	20
84.0	48.0	52
21.0	151.0	67
24.0	81.0	20
6.0	20.0	24
20.0	17.0	20
135.0	20.0	5
21.0	54.0	160
21.0	99.0	27
20.0	61.0	21
22.0	45.0	20
177.0	21.0	20
23.0	20.0	53
9.0	20.0	121
422.0	20.0	110
20.0	20.0	35
158.0	20.0	232
6.0	71.0	213
102.0	76.0	21
52.0	93.0	20
57.0	114.0	21
22.0	35.0	20
76.0	238.0	29
30.0	21.0	83
20.0	20.0	51
18.0	184.0	179
122.0	21.0	63
144.0	20.0	36
20.0	20.0	194
20.0	22.0	12
21.0	139.0	54
97.0	48.0	101
36.0	20.0	22
60.0	97.0	256
41.0	20.0	390
20.0	20.0	18
78.0	189.0	203
136.0	53.0	20
46.0	20.0	20
174.0	20.0	6
20.0	20.0	121
20.0	10.0	55
20.0	219.0	185
235.0	21.0	105
20.0	136.0	113
23.0	65.0	20
20.0	51.0	21
20.0	24.0	20
20.0	20.0	297
21.0	61.0	1
20.0	47.0	56
117.0	20.0	21
7.0	73.0	114
14.0	85.0	40
82.0	102.0	156
15.0	117.0	27
18.0	23.0	20
23.0	20.0	24
20.0	20.0	235
20.0	67.0	79
23.0	20.0	10
20.0	160.0	4
126.0	21.0	131
13.0	20.0	22
16.0	20.0	20
107.0	20.0	258
12.0	20.0	170
39.0	20.0	202
35.0	13.0	21
197.0	108.0	69
112.0	65.0	21
49.0	21.0	26
64.0	80.0	6
34.0	52.0	78
27.0	147.0	170
20.0	20.0	68
20.0	20.0	136
20.0	20.0	161
56.0	210.0	50
91.0	54.0	20
20.0	26.0	31
103.0	21.0	22
20.0	20.0	147
